date,year,month,temp_anomaly,co2,ch4,n2o,co2_emissions,months_since_start,co2_growth_rate,ch4_growth_rate,n2o_growth_rate,co2_12mo_ma,ch4_12mo_ma,n2o_12mo_ma,temp_12mo_ma
2001-03-01,2001,3,0.55,371.58,1773.65,316.21,25692.994140625,1454,0.39999999999997726,1.1300000000001091,-0.10000000000002274,369.33500000000004,1772.5,316.29333333333335,0.39666666666666667
2001-04-01,2001,4,0.5,371.9,1773.87,316.12,25692.994140625,1455,0.3199999999999932,0.2199999999997999,-0.08999999999997499,369.46416666666664,1772.2216666666666,316.27833333333336,0.3916666666666666
2001-05-01,2001,5,0.57,371.76,1770.88,316.11,25692.994140625,1456,-0.13999999999998636,-2.9899999999997817,-0.009999999999990905,369.59083333333336,1771.9141666666667,316.2625,0.41
2001-06-01,2001,6,0.52,370.83,1766.1,316.16,25692.994140625,1457,-0.9300000000000068,-4.7800000000002,0.05000000000001137,369.7175,1771.745,316.25083333333333,0.41999999999999993
2001-07-01,2001,7,0.59,369.45,1763.02,316.23,25692.994140625,1458,-1.3799999999999955,-3.0799999999999272,0.06999999999999318,369.84583333333336,1771.7083333333333,316.24500000000006,0.4366666666666666
2001-08-01,2001,8,0.48,368.31,1764.51,316.3,25692.994140625,1459,-1.1399999999999864,1.490000000000009,0.06999999999999318,369.97499999999997,1771.6308333333334,316.245,0.44166666666666665
2001-09-01,2001,9,0.51,368.36,1770.44,316.41,25692.994140625,1460,0.05000000000001137,5.930000000000064,0.11000000000001364,370.1125,1771.4983333333332,316.25416666666666,0.45249999999999996
2001-10-01,2001,10,0.49,369.71,1775.49,316.59,25692.994140625,1461,1.349999999999966,5.0499999999999545,0.17999999999994998,370.2625,1771.3641666666665,316.27833333333336,0.4716666666666666
2001-11-01,2001,11,0.72,371.06,1776.58,316.76,25692.994140625,1462,1.3500000000000227,1.0899999999999181,0.17000000000001592,370.41083333333336,1771.2691666666667,316.31666666666666,0.5066666666666666
2001-12-01,2001,12,0.55,371.98,1775.92,316.87,25692.994140625,1463,0.9200000000000159,-0.6599999999998545,0.11000000000001364,370.56749999999994,1771.3208333333332,316.3641666666667,0.5299999999999999
2002-01-01,2002,1,0.76,372.51,1774.12,316.93,26265.33203125,1464,0.5299999999999727,-1.800000000000182,0.060000000000002274,370.7191666666667,1771.4250000000002,316.4166666666667,0.5558333333333333
2002-02-01,2002,2,0.78,372.91,1772.86,316.97,26265.33203125,1465,0.4000000000000341,-1.259999999999991,0.040000000000020464,370.8633333333333,1771.4533333333331,316.4716666666667,0.585
2002-03-01,2002,3,0.88,373.38,1773.41,316.96,26265.33203125,1466,0.46999999999997044,0.5500000000001819,-0.010000000000047748,371.0133333333333,1771.4333333333332,316.5341666666667,0.6124999999999999
